month,category,type,number
2017-08,Motor-cycles,Electric,2
2017-08,Goods & Other Vehicles,Petrol,5122
2017-08,Goods & Other Vehicles,Diesel,135123
2017-08,Goods & Other Vehicles,Petrol-Electric,1
2017-08,Goods & Other Vehicles,Petrol-CNG,3
2017-08,Goods & Other Vehicles,CNG,3
2017-08,Goods & Other Vehicles,Electric,31
2017-08,Goods & Other Vehicles,Diesel-Electric,7
2017-08,Buses,Petrol,48
2017-08,Buses,Diesel,18251
2017-08,Buses,Petrol-CNG,1
2017-08,Buses,CNG,12
2017-08,Buses,Electric,2
2017-08,Buses,Diesel-Electric,3
2017-09,Cars,Petrol,574302
2017-09,Cars,Diesel,14151
2017-09,Cars,Petrol-Electric,17196
2017-09,Cars,Petrol-Electric (Plug-In),165
2017-09,Cars,Petrol-CNG,1080
2017-09,Cars,CNG,0
2017-09,Cars,Electric,33
2017-09,Cars,Diesel-Electric,22
2017-09,Taxis,Petrol,142
2017-09,Taxis,Diesel,20445
2017-09,Taxis,Petrol-Electric,3520
2017-09,Taxis,Petrol-CNG,361
2017-09,Taxis,CNG,0
2017-09,Motor-cycles,Petrol,141284
2017-09,Motor-cycles,Electric,2
2017-09,Goods & Other Vehicles,Petrol,5084
2017-09,Goods & Other Vehicles,Diesel,135701
2017-09,Goods & Other Vehicles,Petrol-Electric,1
2017-09,Goods & Other Vehicles,Petrol-CNG,3
2017-09,Goods & Other Vehicles,CNG,3
2017-09,Goods & Other Vehicles,Electric,31
2017-09,Goods & Other Vehicles,Diesel-Electric,7
2017-09,Buses,Petrol,46
2017-09,Buses,Diesel,18306
2017-09,Buses,Petrol-CNG,1
2017-09,Buses,CNG,12
2017-09,Buses,Electric,2
2017-09,Buses,Diesel-Electric,3
2017-10,Cars,Petrol,573630
2017-10,Cars,Diesel,14486
2017-10,Cars,Petrol-Electric,18069
2017-10,Cars,Petrol-Electric (Plug-In),186
2017-10,Cars,Petrol-CNG,1053
2017-10,Cars,CNG,0
2017-10,Cars,Electric,37
2017-10,Cars,Diesel-Electric,22
2017-10,Taxis,Petrol,135
2017-10,Taxis,Diesel,19810
2017-10,Taxis,Petrol-Electric,3719
2017-10,Taxis,Petrol-CNG,280
2017-10,Taxis,CNG,0
2017-10,Motor-cycles,Petrol,141097
2017-10,Motor-cycles,Electric,2
2017-10,Goods & Other Vehicles,Petrol,5039
2017-10,Goods & Other Vehicles,Diesel,136132
2017-10,Goods & Other Vehicles,Petrol-Electric,1
2017-10,Goods & Other Vehicles,Petrol-CNG,3
2017-10,Goods & Other Vehicles,CNG,3
2017-10,Goods & Other Vehicles,Electric,31
2017-10,Goods & Other Vehicles,Diesel-Electric,7
2017-10,Buses,Petrol,46
2017-10,Buses,Diesel,18432
2017-10,Buses,Petrol-CNG,1
2017-10,Buses,CNG,12
2017-10,Buses,Electric,2
2017-10,Buses,Diesel-Electric,3
2017-11,Cars,Petrol,573648
2017-11,Cars,Diesel,14934
2017-11,Cars,Petrol-Electric,18928
2017-11,Cars,Petrol-Electric (Plug-In),191
2017-11,Cars,Petrol-CNG,1026
2017-11,Cars,CNG,0
2017-11,Cars,Electric,93
2017-11,Cars,Diesel-Electric,22
2017-11,Taxis,Petrol,132
2017-11,Taxis,Diesel,19231
2017-11,Taxis,Petrol-Electric,3937
2017-11,Taxis,Petrol-CNG,139
2017-11,Taxis,CNG,0
2017-11,Motor-cycles,Petrol,141107
2017-11,Motor-cycles,Electric,2
2017-11,Goods & Other Vehicles,Petrol,5029
2017-11,Goods & Other Vehicles,Diesel,136549
2017-11,Goods & Other Vehicles,Petrol-Electric,1
2017-11,Goods & Other Vehicles,Petrol-CNG,3
2017-11,Goods & Other Vehicles,CNG,3
2017-11,Goods & Other Vehicles,Electric,31
2017-11,Goods & Other Vehicles,Diesel-Electric,7
2017-11,Buses,Petrol,43
2017-11,Buses,Diesel,18511
2017-11,Buses,Petrol-CNG,1
2017-11,Buses,CNG,12
2017-11,Buses,Electric,2
2017-11,Buses,Diesel-Electric,3
2017-12,Cars,Petrol,574443
2017-12,Cars,Diesel,15514
2017-12,Cars,Petrol-Electric,20751
2017-12,Cars,Petrol-Electric (Plug-In),206
2017-12,Cars,Petrol-CNG,1006
2017-12,Cars,CNG,0
2017-12,Cars,Electric,314
2017-12,Cars,Diesel-Electric,22
2017-12,Taxis,Petrol,129
2017-12,Taxis,Diesel,18851
2017-12,Taxis,Petrol-Electric,4159
2017-12,Taxis,Petrol-CNG,1
2017-12,Taxis,CNG,0
2017-12,Motor-cycles,Petrol,141302
2017-12,Motor-cycles,Electric,2
2017-12,Goods & Other Vehicles,Petrol,5009
2017-12,Goods & Other Vehicles,Diesel,137803
2017-12,Goods & Other Vehicles,Petrol-Electric,1
2017-12,Goods & Other Vehicles,Petrol-CNG,3
