month,make,number
2016-09,PROTON,35
2016-09,RENAULT,41
2016-09,ROLLS ROYCE,2
2016-09,ROVER,0
2016-09,SAAB,12
2016-09,SKODA,4
2016-09,SMART,0
2016-09,SSANGYONG,4
2016-09,SUBARU,277
2016-09,SUZUKI,267
2016-09,TD CARS,1
2016-09,TOYOTA,2113
2016-09,TRIUMPH,0
2016-09,VOLKSWAGEN,350
2016-09,VOLVO,137
2016-09,WULING,0
2016-09,ZOTYE,0
2016-10,ALFA ROMEO,22
2016-10,ALPINA,0
2016-10,ASTON MARTIN,4
2016-10,AUDI,215
2016-10,AUSTIN,1
2016-10,B.M.W.,608
2016-10,BENTLEY,13
2016-10,BERTONE,0
2016-10,CATERHAM,0
2016-10,CHANA,0
2016-10,CHERY,23
2016-10,CHEVROLET,156
2016-10,CHRYSLER,5
2016-10,CITROEN,46
2016-10,DAIHATSU,38
2016-10,DAIMLER,1
2016-10,DODGE,3
2016-10,DONGFENG,0
2016-10,FERRARI,9
2016-10,FIAT,37
2016-10,FORD,44
2016-10,FOTON,0
2016-10,FRAZER,1
2016-10,GEELY,12
2016-10,GOLDEN DRAGON,0
2016-10,HAFEI,5
2016-10,HONDA,1556
2016-10,HUMMER,1
2016-10,HYUNDAI,453
2016-10,INFINITI,2
2016-10,JAGUAR,56
2016-10,JEEP,2
2016-10,KIA,233
2016-10,LAMBORGHINI,9
2016-10,LAND ROVER,18
2016-10,LOTUS,2
2016-10,M.G.,1
2016-10,MASERATI,16
2016-10,MAZDA,357
2016-10,Mclaren,1
2016-10,MERCEDES BENZ,533
2016-10,MINI,49
2016-10,MITSUBISHI,534
2016-10,MITSUOKA,0
2016-10,MORGAN,1
2016-10,MORRIS,1
2016-10,NAZA,0
2016-10,NISSAN,605
2016-10,OPEL,17
2016-10,PAGANI,0
2016-10,PERODUA,24
2016-10,PEUGEOT,64
2016-10,PORSCHE,51
2016-10,PRINCE,0
2016-10,PROTON,46
2016-10,RENAULT,38
2016-10,ROLLS ROYCE,3
2016-10,ROVER,0
2016-10,SAAB,12
2016-10,SKODA,8
2016-10,SMART,0
2016-10,SSANGYONG,9
2016-10,SUBARU,281
2016-10,SUZUKI,232
2016-10,TD CARS,0
2016-10,TOYOTA,2062
2016-10,TRIUMPH,0
2016-10,VOLKSWAGEN,378
2016-10,VOLVO,134
2016-10,WULING,0
2016-10,ZOTYE,1
2016-11,ALFA ROMEO,15
2016-11,ALPINA,1
2016-11,ASTON MARTIN,3
2016-11,AUDI,235
2016-11,AUSTIN,1
2016-11,B.M.W.,626
2016-11,BENTLEY,7
2016-11,BERTONE,0
2016-11,CATERHAM,0
2016-11,CHANA,0
2016-11,CHERY,20
2016-11,CHEVROLET,137
2016-11,CHRYSLER,5
2016-11,CITROEN,61
2016-11,DAIHATSU,43
2016-11,DAIMLER,0
2016-11,DODGE,0
2016-11,DONGFENG,0
2016-11,FERRARI,10
2016-11,FIAT,59
2016-11,FORD,42
2016-11,FOTON,0
2016-11,FRAZER,0
2016-11,GEELY,11
2016-11,GOLDEN DRAGON,0
2016-11,HAFEI,3
2016-11,HONDA,1646
2016-11,HUMMER,1
2016-11,HYUNDAI,412
2016-11,INFINITI,4
2016-11,JAGUAR,46
2016-11,JEEP,2
2016-11,KIA,216
2016-11,LAMBORGHINI,8
2016-11,LAND ROVER,16
2016-11,LOTUS,2
2016-11,M.G.,0
2016-11,MASERATI,13
2016-11,MAZDA,338
2016-11,Mclaren,1
2016-11,MERCEDES BENZ,623
2016-11,MINI,55
2016-11,MITSUBISHI,488
2016-11,MITSUOKA,0
2016-11,MORGAN,1
2016-11,MORRIS,2
2016-11,NAZA,1
2016-11,NISSAN,611
2016-11,OPEL,22
2016-11,PAGANI,0
2016-11,PERODUA,27
2016-11,PEUGEOT,83
2016-11,PORSCHE,51
2016-11,PRINCE,0
2016-11,PROTON,34
2016-11,RENAULT,45
2016-11,ROLLS ROYCE,4
2016-11,ROVER,0
2016-11,SAAB,11
2016-11,SKODA,11
2016-11,SMART,0
2016-11,SSANGYONG,4
2016-11,SUBARU,254
2016-11,SUZUKI,251
2016-11,TD CARS,1
2016-11,TOYOTA,2116
2016-11,TRIUMPH,0
2016-11,VOLKSWAGEN,345
2016-11,VOLVO,122
2016-11,WULING,1
2016-11,ZOTYE,3
2016-12,ALFA ROMEO,10
2016-12,ALPINA,1
2016-12,ASTON MARTIN,5
2016-12,AUDI,225
2016-12,AUSTIN,2
2016-12,B.M.W.,569
2016-12,BENTLEY,9
2016-12,BERTONE,0
2016-12,CATERHAM,1
2016-12,CHANA,0
2016-12,CHERY,13
2016-12,CHEVROLET,143
2016-12,CHRYSLER,8
2016-12,CITROEN,54
2016-12,DAIHATSU,44
2016-12,DAIMLER,0
2016-12,DODGE,3
2016-12,DONGFENG,0
2016-12,FERRARI,6
2016-12,FIAT,47
2016-12,FORD,49
2016-12,FOTON,0
2016-12,FRAZER,0
2016-12,GEELY,7
2016-12,GOLDEN DRAGON,0
2016-12,HAFEI,1
2016-12,HONDA,1677
2016-12,HUMMER,0
2016-12,HYUNDAI,419
2016-12,INFINITI,3
2016-12,JAGUAR,34
2016-12,JEEP,11
2016-12,KIA,246
2016-12,LAMBORGHINI,7
2016-12,LAND ROVER,15
2016-12,LOTUS,4
2016-12,M.G.,0
2016-12,MASERATI,5
2016-12,MAZDA,310
2016-12,Mclaren,2
2016-12,MERCEDES BENZ,534
2016-12,MINI,49
2016-12,MITSUBISHI,529
2016-12,MITSUOKA,1
2016-12,MORGAN,0
2016-12,MORRIS,1
2016-12,NAZA,0
2016-12,NISSAN,561
2016-12,OPEL,18
2016-12,PAGANI,0
2016-12,PERODUA,30
2016-12,PEUGEOT,56
2016-12,PORSCHE,63
2016-12,PRINCE,0
2016-12,PROTON,35
2016-12,RENAULT,38
2016-12,ROLLS ROYCE,4
2016-12,ROVER,0
2016-12,SAAB,15
2016-12,SKODA,5
2016-12,SMART,0
2016-12,SSANGYONG,7
2016-12,SUBARU,284
2016-12,SUZUKI,246
2016-12,TD CARS,0
2016-12,TOYOTA,2068
2016-12,TRIUMPH,0
2016-12,VOLKSWAGEN,328
2016-12,VOLVO,122
2016-12,WULING,1
2016-12,ZOTYE,2
2017-01,ALFA ROMEO,14
2017-01,ASTON MARTIN,4
2017-01,AUDI,227
2017-01,AUSTIN,1
2017-01,B.M.W.,635
2017-01,BENTLEY,11
2017-01,CHANA,1
2017-01,CHERY,22
2017-01,CHEVROLET,155
2017-01,CHRYSLER,7
2017-01,CITROEN,64
2017-01,DAIHATSU,35
2017-01,DODGE,1
2017-01,DONGFENG,3
2017-01,FERRARI,15
2017-01,FIAT,45
2017-01,FORD,53
2017-01,GEELY,10
2017-01,HAFEI,4
2017-01,HONDA,1719
2017-01,HUMMER,1
